category_path,code,article,name,unit,available,reserved,expected,stock,cost_price,cost_amount,sale_price,sale_amount,margin_percent,source_page
Сухоцветы,00177165698764,,пшеница колосок,шт,5.00,0.00,0.00,5.00,7.00,35.00,20.00,100.00,151.31,5
Сухоцветы,00177165698644,,Папоротник сухоцвет,шт,6.00,0.00,0.00,6.00,100.00,600.00,100.00,600.00,390.55,5
Сухоцветы,00177165699020,,озотамнус сухоцвет,шт,5.00,0.00,0.00,5.00,167.82,839.10,320.00,1600.00,34.00,5
Сухоцветы,00075,,Лагурус,шт,356.00,8.00,0.00,364.00,5.52,2010.00,70.00,25480.00,453.46,5
Сухоцветы,00033,,Краспедия,шт,44.00,0.00,0.00,44.00,156.23,6874.00,350.00,15400.00,259.78,5
Сухоцветы,00177165698763,,камыш,шт,11.00,0.00,0.00,11.00,225.00,2475.00,495.00,5445.00,151.31,5
Сухоцветы,00177165698643,,Астильба сухоцвет,шт,56.00,0.00,0.00,56.00,70.00,3920.00,160.00,8960.00,151.31,5
Сухоцветы,00078,,Аспарагус сухоцвет,шт,297.00,0.00,0.00,297.00,182.56,54221.21,390.00,115830.00,147.43,5
Сухоцветы,00177165698772,,апельсин сушеный,шт,87.00,0.00,0.00,87.00,8.61,749.07,25.00,2175.00,148.43,5
Сухоцветы,00077,,Амарантус сухоцвет,шт,148.00,0.00,0.00,148.00,84.62,12523.32,340.00,50320.00,305.81,5
Сьедобные товары,00177165698836,,мандарины,шт,10.00,0.00,0.00,10.00,238.38,2383.76,500.00,5000.00,143.96,5
Сьедобные товары,00177165698937,,клубника в шоколаде 20 шт,шт,1.00,0.00,0.00,1.00,1960.35,1960.35,2500.00,2500.00,62.60,5
Сьедобные товары,00177165698936,,клубника в шоколаде 12 шт,шт,-2.00,0.00,0.00,-2.00,0.00,0.00,1750.00,-3500.00,0.00,5
Сьедобные товары,0017716524,,Уп. для вазы,шт,28.00,0.00,0.00,28.00,23.00,644.00,60.00,1680.00,390.04,5
Сьедобные товары,00177165698721,,Тейп-лента,шт,22.00,0.00,0.00,22.00,126.15,2775.30,0.00,0.00,208.09,5
Сьедобные товары,00177165698967,,спрей редлендс,шт,23.00,0.00,0.00,23.00,152.10,3498.30,340.00,7820.00,18.73,5
Сьедобные товары,00177165698720,,Скотч,шт,2.00,0.00,0.00,2.00,480.00,960.00,0.00,0.00,317.18,5
Сьедобные товары,00177165698731,,Скабиоза,шт,48.00,0.00,0.00,48.00,71.73,3442.86,250.00,12000.00,276.20,5
Сьедобные товары,00177165698732,,скабиоза,шт,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,151.31,5
Сьедобные товары,00177165698673,,Секатор ножницы,шт,47.00,0.00,0.00,47.00,282.23,13265.00,500.00,23500.00,190.09,5
Сьедобные товары,00177165698834,,Свеча,шт,7.00,0.00,0.00,7.00,102.94,720.59,250.00,1750.00,145.52,5
Сьедобные товары,00177165699016,,сапонария,шт,21.00,0.00,0.00,21.00,80.88,1698.50,180.00,3780.00,35.74,5
Сьедобные товары,00177165699011,,ранункулюс Ош,шт,22.00,0.00,0.00,22.00,74.56,1640.33,240.00,5280.00,36.45,5
Сьедобные товары,00177165699029,,ранункулюс Голландия,шт,2.00,0.00,0.00,2.00,80.84,161.68,180.00,360.00,11.76,5
Сьедобные товары,00177031,,Работа флориста(свадебные),шт,-22.00,0.00,0.00,-22.00,0.00,0.00,500.00,-11000.00,0.00,5
Сьедобные товары,00171,,Работа флориста,шт,-117.00,0.00,0.00,-117.00,0.00,0.00,500.00,-58500.00,0.00,5
Сьедобные товары,00177165698856,,пленка матовая,шт,8.00,0.00,0.00,8.00,568.06,4544.47,0.00,0.00,124.34,5
Сьедобные товары,00177165699010,,пальма,шт,20.00,0.00,0.00,20.00,44.88,897.52,135.00,2700.00,11.78,5
Сьедобные товары,00177165699008,,пакет окошко трепеция,шт,200.00,0.00,0.00,200.00,71.18,14235.89,150.00,30000.00,63.62,5
Сьедобные товары,00177165698977,,Открытки,шт,-11.00,0.00,0.00,-11.00,0.00,0.00,50.00,-550.00,0.00,5
Сьедобные товары,00177165699030,,орхидея цимбидиум,шт,-1.00,0.00,0.00,-1.00,0.00,0.00,2600.00,-2600.00,0.00,5
Сьедобные товары,00177165698830,,орхидея поштучно,шт,3.00,2.00,0.00,5.00,114.00,570.00,330.00,1650.00,4.84,6
Сьедобные товары,00177165698933,,орхидея ветка,шт,-20.00,0.00,0.00,-20.00,0.00,0.00,2300.00,-46000.00,0.00,6
Сьедобные товары,00177165698929,,Микс букет на выбор флориста,шт,-1.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,6
Сьедобные товары,00177165698831,,лоропеталум,шт,2.00,0.00,0.00,2.00,339.89,679.77,750.00,1500.00,147.82,6
Сьедобные товары,00177165698976,,Креативные боксы или композиции в коробках из 3 тюльпан,шт,-3.00,0.00,0.00,-3.00,0.00,0.00,0.00,0.00,0.00,6
Сьедобные товары,00177165698857,,кохия,шт,5.00,0.00,0.00,5.00,140.09,700.47,320.00,1600.00,134.78,6
Сьедобные товары,00177165698971,,коробка бренд 19 см,шт,24.00,0.00,0.00,24.00,250.00,6000.00,570.00,13680.00,84.71,6
Сьедобные товары,00177165698972,,коробка бренд 19*25,шт,30.00,0.00,0.00,30.00,300.00,9000.00,670.00,20100.00,84.09,6
Сьедобные товары,00177165698970,,коробка бренд 17 см,шт,24.00,0.00,0.00,24.00,220.00,5280.00,500.00,12000.00,84.71,6
Сьедобные товары,00177165698864,,корзина овал 40 см,шт,-4.00,0.00,0.00,-4.00,0.00,0.00,1550.00,-6200.00,0.00,6
Сьедобные товары,00177165698863,,корзина круглая 52 см,шт,-1.00,0.00,0.00,-1.00,0.00,0.00,2000.00,-2000.00,0.00,6
Сьедобные товары,00177165698862,,корзина круглая 47 см,шт,-4.00,0.00,0.00,-4.00,0.00,0.00,1650.00,-6600.00,0.00,6
Сьедобные товары,00177165698814,,корзина круглая,шт,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,148.43,6
Сьедобные товары,00177165698975,,корзина круг 35 см,шт,-1.00,0.00,0.00,-1.00,0.00,0.00,1220.00,-1220.00,0.00,6
Сьедобные товары,00177165698952,,корзина 68 см,шт,1.00,0.00,0.00,1.00,1567.12,1567.12,3500.00,3500.00,82.58,6
Сьедобные товары,00177165698951,,корзина 56 см,шт,-1.00,0.00,0.00,-1.00,0.00,0.00,2500.00,-2500.00,0.00,6
Сьедобные товары,00177165699004,,композа,шт,-5.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00,0.00,6
Сьедобные товары,00177165698965,,грунт,шт,-8.00,0.00,0.00,-8.00,0.00,0.00,200.00,-1600.00,0.00,6
Сьедобные товары,00177165698962,,Гиацинт луковица,шт,-8.00,0.00,0.00,-8.00,0.00,0.00,270.00,-2160.00,0.00,6
Сьедобные товары,00177165699019,,гербера Китай,шт,150.00,0.00,0.00,150.00,48.47,7270.00,130.00,19500.00,3.88,6
Сьедобные товары,00177165699038,,ваза фиолетовая S,шт,1.00,0.00,0.00,1.00,1381.49,1381.49,3050.00,3050.00,7.90,6
Сьедобные товары,00177165699039,,ваза фиолетовая M,шт,1.00,0.00,0.00,1.00,1724.34,1724.34,3780.00,3780.00,7.90,6
Сьедобные товары,00177165699037,,ваза синяя,шт,2.00,0.00,0.00,2.00,1692.07,3384.14,3690.00,7380.00,7.90,6
Сьедобные товары,00177165698740,,Ваза пластик S 25см,шт,2.00,0.00,0.00,2.00,160.00,320.00,500.00,1000.00,148.43,6
Сьедобные товары,00177165698903,,ваза пластик 20 см,шт,1.00,0.00,0.00,1.00,214.98,214.98,600.00,600.00,60.59,6
Сьедобные товары,00177165698899,,Бокс для тюльпанов маленький,шт,219.00,0.00,0.00,219.00,36.16,7920.03,220.00,48180.00,95.02,6
Сьедобные товары,00177165699043,,антуриум маленький,шт,15.00,0.00,0.00,15.00,237.27,3559.00,530.00,7950.00,3.99,6
